id,name,population,cases,rate_per_10k
ADM11,Teaching District 1-1,32428,78,24.1
ADM21,Teaching District 2-1,41714,115,27.6
ADM31,Teaching District 3-1,52183,97,18.6
ADM41,Teaching District 4-1,59312,146,24.6
ADM51,Teaching District 5-1,72392,195,26.9
ADM12,Teaching District 1-2,41721,114,27.3
ADM22,Teaching District 2-2,48425,106,21.9
ADM32,Teaching District 3-2,58106,150,25.8
ADM42,Teaching District 4-2,70595,177,25.1
ADM52,Teaching District 5-2,80748,188,23.3
ADM13,Teaching District 1-3,47341,93,19.6
ADM23,Teaching District 2-3,58573,131,22.4
ADM33,Teaching District 3-3,68895,193,28.0
ADM43,Teaching District 4-3,73572,156,21.2
ADM53,Teaching District 5-3,84584,240,28.4
ADM14,Teaching District 1-4,53835,124,23.0
ADM24,Teaching District 2-4,62759,161,25.7
ADM34,Teaching District 3-4,72034,169,23.5
ADM44,Teaching District 4-4,82390,249,30.2
ADM54,Teaching District 5-4,93697,284,30.3
