id,lon,lat,duration_min,start_lon,start_lat,end_lon,end_lat,hour
BIKE_001,-87.58829,41.93783,38.9,-87.58829,41.93783,-87.57994,41.92213,2
BIKE_002,-87.59135,41.87007,47.5,-87.59135,41.87007,-87.58131,41.89848,2
BIKE_003,-87.59901,41.88525,54.44,-87.59901,41.88525,-87.60032,41.85985,15
BIKE_004,-87.6279,41.87589,71.38,-87.6279,41.87589,-87.63987,41.88576,15
BIKE_005,-87.63892,41.7749,45.03,-87.63892,41.7749,-87.60942,41.75489,12
BIKE_006,-87.60412,41.8817,50.89,-87.60412,41.8817,-87.60675,41.85967,11
BIKE_007,-87.60754,41.88178,74.57,-87.60754,41.88178,-87.56319,41.87047,16
BIKE_008,-87.63474,41.87192,41.36,-87.63474,41.87192,-87.62992,41.90268,7
BIKE_009,-87.65886,41.89306,62.77,-87.65886,41.89306,-87.64324,41.90693,1
BIKE_010,-87.66454,41.89367,44.86,-87.66454,41.89367,-87.65578,41.90667,17
BIKE_011,-87.64559,41.91506,26.12,-87.64559,41.91506,-87.65275,41.93732,8
BIKE_012,-87.61494,41.92779,40.46,-87.61494,41.92779,-87.62228,41.91208,20
BIKE_013,-87.54243,41.81682,46.91,-87.54243,41.81682,-87.49392,41.80015,15
BIKE_014,-87.62593,41.88115,37.76,-87.62593,41.88115,-87.62074,41.89566,23
BIKE_015,-87.60686,41.89096,62.92,-87.60686,41.89096,-87.58346,41.9048,2
BIKE_016,-87.71414,41.86833,21.92,-87.71414,41.86833,-87.68474,41.90256,8
BIKE_017,-87.62703,41.8845,64.88,-87.62703,41.8845,-87.63508,41.90465,5
BIKE_018,-87.66087,41.87461,71.87,-87.66087,41.87461,-87.66331,41.86441,23
BIKE_019,-87.62183,41.8541,55.71,-87.62183,41.8541,-87.61041,41.84443,6
BIKE_020,-87.63466,41.89569,38.17,-87.63466,41.89569,-87.62399,41.92473,15
BIKE_021,-87.61831,41.96287,39.28,-87.61831,41.96287,-87.59704,41.9786,15
BIKE_022,-87.6105,41.83482,38.44,-87.6105,41.83482,-87.57261,41.85221,23
BIKE_023,-87.66194,41.89643,37.59,-87.66194,41.89643,-87.65273,41.90251,0
BIKE_024,-87.60421,41.89962,72.7,-87.60421,41.89962,-87.60095,41.93527,13
BIKE_025,-87.60582,41.92852,46.38,-87.60582,41.92852,-87.62475,41.93516,15
BIKE_026,-87.59323,41.89575,32.08,-87.59323,41.89575,-87.62045,41.90203,3
BIKE_027,-87.60002,41.94335,13.69,-87.60002,41.94335,-87.59925,41.98042,6
BIKE_028,-87.69895,41.88856,69.37,-87.69895,41.88856,-87.67453,41.87865,18
BIKE_029,-87.64663,41.86826,43.83,-87.64663,41.86826,-87.62822,41.88217,8
BIKE_030,-87.53814,41.87584,31.42,-87.53814,41.87584,-87.52268,41.88128,13
BIKE_031,-87.623,41.83401,46.36,-87.623,41.83401,-87.60544,41.83224,13
BIKE_032,-87.67736,41.88467,42.1,-87.67736,41.88467,-87.6941,41.88271,11
BIKE_033,-87.59778,41.8746,39.03,-87.59778,41.8746,-87.58526,41.86684,0
BIKE_034,-87.56741,41.89595,54.01,-87.56741,41.89595,-87.53996,41.90369,5
BIKE_035,-87.64003,41.8795,67.44,-87.64003,41.8795,-87.64617,41.8879,21
BIKE_036,-87.57951,41.88326,58.7,-87.57951,41.88326,-87.59661,41.88222,18
BIKE_037,-87.66783,41.85156,47.39,-87.66783,41.85156,-87.67789,41.84043,12
BIKE_038,-87.61381,41.88741,36.02,-87.61381,41.88741,-87.63848,41.93823,20
BIKE_039,-87.6032,41.88807,41.05,-87.6032,41.88807,-87.61394,41.89112,17
BIKE_040,-87.65484,41.86272,24.95,-87.65484,41.86272,-87.64802,41.85142,4
BIKE_041,-87.63484,41.89359,67.71,-87.63484,41.89359,-87.63565,41.93453,17
BIKE_042,-87.54613,41.87009,27.39,-87.54613,41.87009,-87.53349,41.87643,13
BIKE_043,-87.63796,41.80678,44.49,-87.63796,41.80678,-87.63412,41.79509,8
BIKE_044,-87.63691,41.86511,68.6,-87.63691,41.86511,-87.62781,41.87358,23
BIKE_045,-87.68916,41.89383,33.89,-87.68916,41.89383,-87.71855,41.88897,2
BIKE_046,-87.59625,41.92312,30.53,-87.59625,41.92312,-87.56733,41.9102,5
BIKE_047,-87.61142,41.91907,50.44,-87.61142,41.91907,-87.61422,41.91761,16
BIKE_048,-87.6903,41.893,37.4,-87.6903,41.893,-87.69363,41.89882,17
BIKE_049,-87.5683,41.89565,57.27,-87.5683,41.89565,-87.58861,41.89218,20
BIKE_050,-87.58046,41.92991,60.69,-87.58046,41.92991,-87.58922,41.93715,7
BIKE_051,-87.68551,41.90055,49.32,-87.68551,41.90055,-87.65856,41.91984,20
