tract,lon,lat,rooms,lower_status_pct,crime_index,nox,median_value_k,river_adjacent
BOS_001,-70.92139,42.36544,6.77,7.2,1.22,0.504,46.8,0
BOS_002,-70.8767,42.23214,6.26,16.9,1.13,0.481,39.3,0
BOS_003,-71.17523,42.39519,5.97,3.9,0.57,0.368,56.4,0
BOS_004,-71.06941,42.27808,5.57,17.9,0.5,0.588,30.1,0
BOS_005,-70.92565,42.33597,5.13,13.5,1.17,0.588,32.0,0
BOS_006,-70.94779,42.3797,6.94,14.3,0.11,0.523,41.5,0
BOS_007,-71.08801,42.26475,6.35,14.2,2.79,0.525,31.1,0
BOS_008,-70.84782,42.34485,5.17,11.3,1.94,0.481,36.2,0
BOS_009,-70.86604,42.33189,6.89,22.4,1.19,0.485,32.0,0
BOS_010,-70.85297,42.34498,6.93,15.6,0.56,0.49,45.7,0
BOS_011,-71.07357,42.25915,5.56,19.7,0.48,0.582,26.9,0
BOS_012,-70.84598,42.27764,6.4,6.6,2.64,0.554,41.6,0
BOS_013,-71.01286,42.2559,5.94,12.4,1.03,0.464,42.7,0
BOS_014,-71.15282,42.24313,5.66,8.6,0.59,0.494,43.3,0
BOS_015,-70.95948,42.39792,5.98,10.0,1.2,0.466,44.5,0
BOS_016,-71.00446,42.39918,5.72,6.7,1.86,0.525,42.3,0
BOS_017,-70.99555,42.2306,5.08,20.8,0.66,0.478,18.2,0
BOS_018,-71.06079,42.35273,5.58,6.3,3.19,0.586,40.1,1
BOS_019,-70.84407,42.24448,6.63,3.7,1.04,0.554,51.6,0
BOS_020,-71.0517,42.26438,6.36,8.4,1.0,0.359,46.7,0
BOS_021,-70.9622,42.36236,6.41,14.1,1.27,0.56,34.5,0
BOS_022,-71.16732,42.3273,5.78,9.8,1.8,0.612,27.3,0
BOS_023,-71.17666,42.24009,6.87,12.3,0.13,0.497,47.2,0
BOS_024,-71.02499,42.35205,5.3,14.0,0.87,0.488,33.8,1
BOS_025,-71.13903,42.34769,6.12,2,0.05,0.552,52.0,1
BOS_026,-71.12799,42.23899,5.87,8.9,0.61,0.653,42.2,0
BOS_027,-70.89559,42.24914,6.96,3.0,0.25,0.523,57.2,0
BOS_028,-70.89785,42.40679,5.55,10.1,3.72,0.456,31.9,0
BOS_029,-70.88889,42.37276,6.04,12.6,0.41,0.413,42.4,0
