id,lon,lat,magnitude
EARTHQUAKE_001,-118.31847,35.76184,8.13
EARTHQUAKE_002,-119.95482,35.641,3.25
EARTHQUAKE_003,-124.24444,37.80369,4.97
EARTHQUAKE_004,-119.69745,34.31803,6.52
EARTHQUAKE_005,-119.43669,36.99057,2.17
EARTHQUAKE_006,-120.67535,36.82178,2.7
EARTHQUAKE_007,-120.48386,35.23758,5.38
EARTHQUAKE_008,-119.44422,35.78949,3.97
EARTHQUAKE_009,-118.89693,36.29447,2.96
EARTHQUAKE_010,-121.94617,36.14312,5.14
EARTHQUAKE_011,-121.73915,34.75196,5.77
EARTHQUAKE_012,-119.84862,36.83558,5.35
EARTHQUAKE_013,-121.64897,36.54722,6.91
EARTHQUAKE_014,-120.76621,35.98687,4.17
EARTHQUAKE_015,-119.8434,36.41767,4.91
EARTHQUAKE_016,-118.51658,34.71495,4.0
EARTHQUAKE_017,-118.267,35.94076,3.32
EARTHQUAKE_018,-119.18874,35.20022,4.82
EARTHQUAKE_019,-119.23043,36.74809,1.03
EARTHQUAKE_020,-117.53303,38.12811,3.77
EARTHQUAKE_021,-117.77187,35.31758,3.52
EARTHQUAKE_022,-116.8717,34.43007,5.51
EARTHQUAKE_023,-118.16383,35.73218,4.75
EARTHQUAKE_024,-118.0896,37.0371,1.36
EARTHQUAKE_025,-118.60929,36.652,5.47
EARTHQUAKE_026,-119.83783,36.22502,4.22
EARTHQUAKE_027,-121.00383,36.43232,5.63
EARTHQUAKE_028,-118.38685,36.13055,5.28
EARTHQUAKE_029,-117.45643,36.58016,5.26
EARTHQUAKE_030,-120.35386,36.2358,6.18
EARTHQUAKE_031,-120.61134,36.54046,5.73
EARTHQUAKE_032,-121.05524,36.06692,9.07
EARTHQUAKE_033,-118.03954,36.61558,4.29
EARTHQUAKE_034,-119.09053,37.22066,4.49
EARTHQUAKE_035,-121.03805,34.60678,2.42
EARTHQUAKE_036,-120.91054,35.74439,4.42
EARTHQUAKE_037,-120.53094,36.79887,5.05
EARTHQUAKE_038,-118.19932,36.65543,5.78
EARTHQUAKE_039,-121.09968,37.86437,3.02
EARTHQUAKE_040,-121.27726,36.59179,4.88
EARTHQUAKE_041,-120.65003,37.02851,3.65
EARTHQUAKE_042,-120.1781,34.94924,4.27
EARTHQUAKE_043,-117.65594,36.50554,3.96
EARTHQUAKE_044,-119.48367,38.23119,4.79
EARTHQUAKE_045,-121.04052,36.78539,4.39
EARTHQUAKE_046,-120.77207,35.92385,6.26
EARTHQUAKE_047,-119.84687,36.79457,3.95
EARTHQUAKE_048,-120.30641,35.76111,7.41
EARTHQUAKE_049,-120.58766,36.19134,3.76
EARTHQUAKE_050,-123.8693,36.415,0.1
EARTHQUAKE_051,-120.99411,36.67627,5.39
EARTHQUAKE_052,-119.371,35.50484,3.69
EARTHQUAKE_053,-119.17573,35.29836,4.92
EARTHQUAKE_054,-117.56805,36.91518,5.0
EARTHQUAKE_055,-120.87157,36.25502,1.46
EARTHQUAKE_056,-119.66386,36.37995,8.02
EARTHQUAKE_057,-117.43835,35.60334,7.65
EARTHQUAKE_058,-120.02395,36.33235,3.72
EARTHQUAKE_059,-119.81246,36.77059,4.69
EARTHQUAKE_060,-118.34924,34.73878,5.16
EARTHQUAKE_061,-119.26526,36.90631,5.89
EARTHQUAKE_062,-120.86104,36.10642,7.7
EARTHQUAKE_063,-118.38629,36.07108,4.07
EARTHQUAKE_064,-120.11455,36.78942,7.64
EARTHQUAKE_065,-119.04924,36.59333,7.72
EARTHQUAKE_066,-118.17736,34.89274,3.19
EARTHQUAKE_067,-121.22154,37.01467,3.92
EARTHQUAKE_068,-119.66461,36.57572,8.1
EARTHQUAKE_069,-119.42939,36.52206,0.89
EARTHQUAKE_070,-120.22921,36.77088,6.58
EARTHQUAKE_071,-118.70418,37.11429,4.89
EARTHQUAKE_072,-118.75991,37.55081,5.68
EARTHQUAKE_073,-116.65338,36.79269,1.76
EARTHQUAKE_074,-119.08239,36.77331,4.26
EARTHQUAKE_075,-119.16227,35.76113,7.05
EARTHQUAKE_076,-119.14636,36.86946,0.89
EARTHQUAKE_077,-120.35752,36.75287,5.86
EARTHQUAKE_078,-120.03667,36.73579,3.72
EARTHQUAKE_079,-118.79581,35.53485,6.28
EARTHQUAKE_080,-117.14589,36.96639,3.98
EARTHQUAKE_081,-120.58659,36.87635,5.52
EARTHQUAKE_082,-120.10207,37.45326,5.83
EARTHQUAKE_083,-119.56875,33.62318,3.76
EARTHQUAKE_084,-118.99326,35.85437,7.36
EARTHQUAKE_085,-119.98236,37.68002,4.68
EARTHQUAKE_086,-121.1416,34.13204,4.44
EARTHQUAKE_087,-120.6799,35.06781,2.19
EARTHQUAKE_088,-120.6326,37.90003,3.38
EARTHQUAKE_089,-119.35828,35.37327,3.5
EARTHQUAKE_090,-120.98026,37.16729,5.26
EARTHQUAKE_091,-117.6483,36.95316,4.9
EARTHQUAKE_092,-121.72123,35.01944,3.94
EARTHQUAKE_093,-117.36373,36.35696,2.5
EARTHQUAKE_094,-118.23874,36.62057,4.7
EARTHQUAKE_095,-118.73121,36.37073,5.48
EARTHQUAKE_096,-117.82444,35.73753,7.78
EARTHQUAKE_097,-120.26567,35.9552,6.28
EARTHQUAKE_098,-120.96708,35.10594,0.1
EARTHQUAKE_099,-120.00454,35.85623,3.81
EARTHQUAKE_100,-116.81755,36.55863,4.34
EARTHQUAKE_101,-118.59024,34.39955,4.04
EARTHQUAKE_102,-120.03845,35.71464,3.9
EARTHQUAKE_103,-121.56155,35.61345,3.89
EARTHQUAKE_104,-120.15829,37.17582,8.63
EARTHQUAKE_105,-119.39268,36.83249,5.5
EARTHQUAKE_106,-120.01379,35.92835,5.22
EARTHQUAKE_107,-118.911,34.8818,3.13
EARTHQUAKE_108,-118.5649,36.02545,7.55
EARTHQUAKE_109,-118.43907,35.75784,7.67
EARTHQUAKE_110,-119.47219,36.86049,5.01
EARTHQUAKE_111,-118.35242,35.08812,5.82
EARTHQUAKE_112,-119.83423,37.85443,9.23
EARTHQUAKE_113,-117.69103,35.8623,5.65
EARTHQUAKE_114,-121.04957,36.68447,4.71
EARTHQUAKE_115,-121.85574,36.9771,2.1
EARTHQUAKE_116,-118.13843,36.40952,6.85
EARTHQUAKE_117,-121.37446,37.36622,3.85
EARTHQUAKE_118,-118.20693,37.48749,4.91
EARTHQUAKE_119,-117.93894,35.46402,5.5
EARTHQUAKE_120,-119.92531,36.08508,6.32
EARTHQUAKE_121,-118.30717,36.62888,5.96
EARTHQUAKE_122,-117.85532,36.38545,4.68
EARTHQUAKE_123,-121.1086,38.208,3.08
EARTHQUAKE_124,-118.17012,36.13966,2.43
EARTHQUAKE_125,-119.36852,35.5157,4.03
