id,name,type,lon,lat,beds
HF_001,Community Health Facility 001,urgent_care,-78.82113,35.2106,25
HF_002,Community Health Facility 002,clinic,-78.60229,35.14154,25
HF_003,Community Health Facility 003,clinic,-78.65857,35.1531,12
HF_004,Community Health Facility 004,hospital,-78.17346,35.14128,120
HF_005,Community Health Facility 005,hospital,-77.85414,35.1188,0
HF_006,Community Health Facility 006,clinic,-77.76151,35.14316,12
HF_007,Community Health Facility 007,hospital,-77.72416,35.2048,12
HF_008,Community Health Facility 008,pharmacy,-77.43446,35.26534,60
HF_009,Community Health Facility 009,clinic,-77.3137,35.23771,25
HF_010,Community Health Facility 010,clinic,-76.85021,35.1668,0
HF_011,Community Health Facility 011,pharmacy,-76.92021,35.21219,120
HF_012,Community Health Facility 012,urgent_care,-78.70234,35.52216,0
HF_013,Community Health Facility 013,hospital,-78.65007,35.535,60
HF_014,Community Health Facility 014,hospital,-78.69279,35.41234,120
HF_015,Community Health Facility 015,hospital,-78.09225,35.47812,12
HF_016,Community Health Facility 016,hospital,-78.25788,35.47524,25
HF_017,Community Health Facility 017,clinic,-77.63888,35.46688,0
HF_018,Community Health Facility 018,pharmacy,-77.32194,35.42645,12
HF_019,Community Health Facility 019,pharmacy,-76.81884,35.38046,60
HF_020,Community Health Facility 020,urgent_care,-78.6892,35.74985,0
HF_021,Community Health Facility 021,urgent_care,-78.28393,35.88953,60
HF_022,Community Health Facility 022,hospital,-78.21932,35.74416,60
HF_023,Community Health Facility 023,urgent_care,-77.84105,35.81189,120
HF_024,Community Health Facility 024,clinic,-77.83691,35.79207,120
HF_025,Community Health Facility 025,urgent_care,-77.84774,35.75301,25
HF_026,Community Health Facility 026,hospital,-77.31179,35.74831,0
HF_027,Community Health Facility 027,urgent_care,-77.41862,35.76188,0
HF_028,Community Health Facility 028,urgent_care,-76.92129,35.821,0
HF_029,Community Health Facility 029,pharmacy,-76.88905,35.7704,0
HF_030,Community Health Facility 030,urgent_care,-76.99735,35.73568,0
HF_031,Community Health Facility 031,pharmacy,-78.67196,36.09623,25
HF_032,Community Health Facility 032,pharmacy,-78.67058,36.13543,60
HF_033,Community Health Facility 033,pharmacy,-78.22119,36.07303,0
HF_034,Community Health Facility 034,clinic,-78.19936,36.14466,0
HF_035,Community Health Facility 035,urgent_care,-78.17368,36.14048,60
HF_036,Community Health Facility 036,pharmacy,-77.67807,36.17473,0
HF_037,Community Health Facility 037,clinic,-77.29838,36.1551,60
HF_038,Community Health Facility 038,pharmacy,-77.24022,36.15532,0
HF_039,Community Health Facility 039,pharmacy,-77.23444,36.04758,0
HF_040,Community Health Facility 040,pharmacy,-76.89123,36.07137,25
HF_041,Community Health Facility 041,clinic,-76.78586,36.08429,0
