sample,species,sepal_length,sepal_width,petal_length,petal_width,lon,lat
setosa_01,setosa,4.76,3.5,1.52,0.32,-122.33343,37.72469
setosa_02,setosa,5.13,3.95,1.42,0.38,-122.32901,37.74433
setosa_03,setosa,5.52,3.3,1.79,0.23,-122.32473,37.74422
setosa_04,setosa,5.02,3.48,1.35,0.23,-122.34051,37.7299
setosa_05,setosa,4.43,3.08,1.48,0.32,-122.33758,37.71209
setosa_06,setosa,4.86,3.42,1.17,0.19,-122.34819,37.72921
setosa_07,setosa,5.05,3.23,1.67,0.27,-122.31759,37.74029
setosa_08,setosa,5.34,3.17,1.34,0.23,-122.33186,37.75087
setosa_09,setosa,4.78,3.49,1.58,0.38,-122.33645,37.72344
setosa_10,setosa,4.96,3.51,1.52,0.29,-122.33096,37.73135
setosa_11,setosa,5.07,3.21,1.3,0.25,-122.33482,37.74331
setosa_12,setosa,5.2,3.71,1.67,0.27,-122.32297,37.73915
setosa_13,setosa,5.09,3.57,1.39,0.17,-122.33965,37.7337
setosa_14,setosa,4.57,3.33,1.97,0.29,-122.31893,37.72607
setosa_15,setosa,5.53,2.95,1.28,0.33,-122.33567,37.75397
setosa_16,setosa,5.01,3.55,1.68,0.19,-122.33747,37.74315
setosa_17,setosa,4.9,3.01,1.52,0.32,-122.3327,37.72773
setosa_18,setosa,4.52,3.21,1.59,0.26,-122.32851,37.72155
setosa_19,setosa,5.04,3.94,1.43,0.28,-122.3264,37.73243
setosa_20,setosa,4.7,3.05,1.27,0.27,-122.33569,37.7193
setosa_21,setosa,5.09,3.57,1.51,0.32,-122.32434,37.74431
setosa_22,setosa,4.91,3.64,1.32,0.28,-122.33152,37.73331
setosa_23,setosa,4.9,3.79,1.51,0.2,-122.34834,37.73776
setosa_24,setosa,4.53,3.11,1.37,0.23,-122.33033,37.71303
setosa_25,setosa,5.04,3.08,1.33,0.29,-122.34496,37.73459
setosa_26,setosa,4.58,3.18,1.57,0.41,-122.32499,37.71656
setosa_27,setosa,5.2,2.74,1.51,0.18,-122.3244,37.74582
setosa_28,setosa,5.04,3.49,1.65,0.26,-122.32289,37.74072
setosa_29,setosa,4.83,2.97,1.29,0.23,-122.3424,37.72728
setosa_30,setosa,5.53,3.91,1.41,0.19,-122.34413,37.75401
setosa_31,setosa,4.4,3.62,1.29,0.22,-122.33001,37.71538
setosa_32,setosa,4.84,3.52,1.73,0.32,-122.32065,37.73531
setosa_33,setosa,4.99,3.42,1.55,0.41,-122.3292,37.73245
setosa_34,setosa,5.16,3.68,1.16,0.28,-122.34386,37.73229
setosa_35,setosa,5.2,3.54,1.59,0.25,-122.32395,37.74001
setosa_36,setosa,5.09,3.56,1.4,0.32,-122.32848,37.72868
setosa_37,setosa,4.95,3.23,1.1,0.17,-122.34384,37.73508
setosa_38,setosa,4.86,3.7,1.65,0.29,-122.34142,37.73151
setosa_39,setosa,4.91,3.71,1.66,0.37,-122.33661,37.735
setosa_40,setosa,5.24,3.09,1.58,0.25,-122.33254,37.73902
setosa_41,setosa,4.75,3.75,1.77,0.17,-122.32086,37.72797
setosa_42,setosa,4.74,3.49,1.35,0.22,-122.33794,37.72018
setosa_43,setosa,5.42,3.13,1.7,0.33,-122.31716,37.74384
setosa_44,setosa,5.12,3.49,1.32,0.18,-122.33508,37.74497
setosa_45,setosa,4.5,3.36,1.53,0.26,-122.33065,37.72503
setosa_46,setosa,4.21,3.61,1.58,0.3,-122.33012,37.72075
setosa_47,setosa,5.22,3.19,1.28,0.27,-122.34131,37.73525
setosa_48,setosa,4.59,3.22,1.32,0.23,-122.33312,37.71958
setosa_49,setosa,4.6,3.25,1.78,0.26,-122.32313,37.72154
setosa_50,setosa,5.42,3.78,1.37,0.2,-122.33584,37.73747
versicolor_01,versicolor,5.68,2.55,3.76,1.54,-122.26025,37.75216
versicolor_02,versicolor,6.07,2.78,4.29,1.15,-122.2265,37.76686
versicolor_03,versicolor,5.67,3.03,4.19,1.49,-122.23432,37.745
versicolor_04,versicolor,5.8,2.84,4.27,1.37,-122.24324,37.75953
versicolor_05,versicolor,6.68,2.68,3.18,1.35,-122.27235,37.77937
versicolor_06,versicolor,6.35,2.75,4.29,1.25,-122.23748,37.77267
versicolor_07,versicolor,6.6,2.04,4.49,1.48,-122.2448,37.77141
versicolor_08,versicolor,5.52,2.56,3.89,1.16,-122.25202,37.74827
versicolor_09,versicolor,6.67,2.71,3.69,1.25,-122.26294,37.78519
versicolor_10,versicolor,6.3,2.35,3.88,1.25,-122.24719,37.77134
versicolor_11,versicolor,5.08,2.89,4.26,1.46,-122.24024,37.73195
versicolor_12,versicolor,6.04,2.43,4.12,1.12,-122.24139,37.7657
versicolor_13,versicolor,6.43,2.53,4.37,1.49,-122.23482,37.78883
versicolor_14,versicolor,5.76,2.89,4.34,1.28,-122.23603,37.75442
versicolor_15,versicolor,5.04,2.94,4.36,1.01,-122.23062,37.74157
versicolor_16,versicolor,5.75,3.16,4.06,1.22,-122.2413,37.75599
versicolor_17,versicolor,5.84,2.95,4.48,1.45,-122.22859,37.74973
versicolor_18,versicolor,5.97,3.03,4.56,1.66,-122.22144,37.76732
