cell_id,x,y,lon,lat,elevation_m,ndvi,landcover
C_00_00,0,0,-105.25,39.55,1923.3,0.442,grass
C_00_01,1,0,-105.235,39.55,1920.8,0.202,urban
C_00_02,2,0,-105.22,39.55,1972.1,0.363,grass
C_00_03,3,0,-105.205,39.55,2027.3,0.39,grass
C_00_04,4,0,-105.19,39.55,2077.1,0.502,grass
C_00_05,5,0,-105.175,39.55,2130.6,0.425,grass
C_00_06,6,0,-105.16,39.55,2160.1,0.588,forest
C_00_07,7,0,-105.145,39.55,2152.6,0.505,grass
C_00_08,8,0,-105.13,39.55,2227.8,0.529,grass
C_00_09,9,0,-105.115,39.55,2263.3,0.568,forest
C_00_10,10,0,-105.1,39.55,2271.1,0.53,grass
C_00_11,11,0,-105.085,39.55,2281.4,0.605,forest
C_00_12,12,0,-105.07,39.55,2295.6,0.512,grass
C_00_13,13,0,-105.055,39.55,2258.4,0.37,grass
C_00_14,14,0,-105.04,39.55,2341.5,0.369,grass
C_00_15,15,0,-105.025,39.55,2293.1,0.32,grass
C_00_16,16,0,-105.01,39.55,2262.9,0.311,grass
C_00_17,17,0,-104.995,39.55,2249.9,0.271,grass
C_00_18,18,0,-104.98,39.55,2170.5,0.362,grass
C_00_19,19,0,-104.965,39.55,2170.6,0.236,grass
C_00_20,20,0,-104.95,39.55,2150.5,0.273,grass
C_00_21,21,0,-104.935,39.55,2080.7,0.064,urban
C_00_22,22,0,-104.92,39.55,2077.4,-0.002,urban
C_00_23,23,0,-104.905,39.55,1958.9,0.134,urban
C_00_24,24,0,-104.89,39.55,1911.8,0.041,urban
C_00_25,25,0,-104.875,39.55,1899.8,0.123,urban
C_00_26,26,0,-104.86,39.55,1833.0,-0.1,urban
C_00_27,27,0,-104.845,39.55,1785.8,0.036,urban
C_00_28,28,0,-104.83,39.55,1751.5,-0.1,urban
C_00_29,29,0,-104.815,39.55,1701.1,0.053,urban
C_00_30,30,0,-104.8,39.55,1618.1,0.011,urban
C_00_31,31,0,-104.785,39.55,1571.6,0.113,urban
C_00_32,32,0,-104.77,39.55,1538.5,0.156,urban
C_00_33,33,0,-104.755,39.55,1539.6,-0.049,urban
C_00_34,34,0,-104.74,39.55,1494.1,0.1,urban
C_00_35,35,0,-104.725,39.55,1463.7,0.132,urban
C_00_36,36,0,-104.71,39.55,1468.0,0.25,grass
C_00_37,37,0,-104.695,39.55,1435.4,0.261,grass
C_00_38,38,0,-104.68,39.55,1396.8,0.326,grass
C_00_39,39,0,-104.665,39.55,1417.7,0.343,grass
C_00_40,40,0,-104.65,39.55,1479.0,0.391,grass
C_00_41,41,0,-104.635,39.55,1513.9,0.377,grass
C_01_00,0,1,-105.25,39.562,1860.8,0.229,grass
C_01_01,1,1,-105.235,39.562,1944.4,0.335,grass
C_01_02,2,1,-105.22,39.562,1983.4,0.291,grass
