site,lon,lat,zinc,lead,cadmium,copper,elevation_m,landuse
MEUSE_001,5.82067,50.93425,667.8,199.9,3.86,34.9,56.2,industrial
MEUSE_002,5.68699,50.94593,558.1,148.0,3.37,29.0,51.2,village
MEUSE_003,5.77229,51.00637,927.9,249.9,4.58,38.0,60.1,orchard
MEUSE_004,5.89059,50.98722,636.9,191.1,3.64,36.5,41.6,meadow
MEUSE_005,5.84054,51.02116,708.2,205.3,4.2,30.5,68.7,village
MEUSE_006,5.7223,50.94182,575.0,164.4,3.59,23.1,65.8,meadow
MEUSE_007,5.76363,51.00708,881.5,253.2,4.87,37.6,72.3,meadow
MEUSE_008,5.81401,50.95909,656.5,187.9,4.12,36.1,67.0,village
MEUSE_009,5.72832,50.98513,817.7,234.1,4.7,36.6,68.8,village
MEUSE_010,5.8728,50.9835,659.1,170.5,3.6,37.8,56.5,riparian
MEUSE_011,5.71072,51.05665,655.7,175.1,3.71,26.9,61.6,orchard
MEUSE_012,5.7921,50.94545,857.2,248.7,4.87,41.1,54.2,industrial
MEUSE_013,5.81121,50.99541,770.3,216.9,4.22,40.6,64.4,meadow
MEUSE_014,5.82998,51.02128,747.3,206.8,3.99,34.7,54.7,industrial
MEUSE_015,5.68071,51.05276,676.8,187.1,3.73,37.4,60.9,village
MEUSE_016,5.81397,50.95598,754.3,197.7,4.12,34.7,67.8,meadow
MEUSE_017,5.81177,51.01306,741.6,225.3,4.34,35.8,53.7,village
MEUSE_018,5.88833,50.94456,568.4,171.4,3.47,33.7,50.5,orchard
MEUSE_019,5.82515,51.09096,574.6,159.0,3.7,36.2,53.2,orchard
MEUSE_020,5.83685,50.99783,722.4,190.3,3.89,39.8,62.6,orchard
MEUSE_021,5.72943,50.98747,750.5,215.7,3.64,34.4,64.9,meadow
MEUSE_022,5.86912,50.94205,546.3,150.3,2.73,29.2,47.9,village
MEUSE_023,5.80677,50.97131,745.8,210.8,4.21,33.9,62.2,meadow
MEUSE_024,5.82814,51.09731,652.3,176.7,3.97,35.1,51.3,orchard
MEUSE_025,5.72215,51.02117,775.4,225.3,4.57,41.3,54.3,village
MEUSE_026,5.70154,51.04086,707.7,201.7,4.12,35.0,60.3,orchard
MEUSE_027,5.71659,51.01256,748.7,211.3,3.94,38.2,55.2,industrial
MEUSE_028,5.74275,51.04842,737.8,209.0,4.0,31.2,69.2,orchard
MEUSE_029,5.74528,51.09468,577.1,158.1,2.81,28.7,66.0,village
MEUSE_030,5.71464,51.09333,560.9,161.3,3.35,35.1,52.0,orchard
MEUSE_031,5.76883,51.09007,697.1,194.1,3.4,32.5,66.5,riparian
MEUSE_032,5.88564,50.96472,534.6,150.2,3.22,33.7,56.0,riparian
MEUSE_033,5.78059,51.08793,797.7,224.0,4.36,40.0,74.3,village
MEUSE_034,5.73834,51.08865,680.2,196.0,3.4,32.2,72.2,village
MEUSE_035,5.83478,51.03399,731.4,204.0,4.3,34.1,69.9,orchard
MEUSE_036,5.73818,51.08125,725.8,206.9,3.67,37.3,69.1,riparian
MEUSE_037,5.72479,51.03782,628.2,177.1,3.84,35.6,57.3,riparian
MEUSE_038,5.6897,50.9867,687.3,197.2,3.71,34.1,49.4,industrial
MEUSE_039,5.8034,50.94902,713.5,195.6,3.43,32.4,73.0,industrial
MEUSE_040,5.70804,50.9824,732.7,209.7,4.39,29.7,69.1,orchard
MEUSE_041,5.83005,51.04338,639.5,173.1,4.02,33.2,56.6,orchard
MEUSE_042,5.87021,51.09596,427.4,121.0,2.77,27.7,60.3,riparian
MEUSE_043,5.85213,50.99999,724.3,196.8,3.61,34.4,60.1,meadow
MEUSE_044,5.86889,50.96781,582.6,156.5,3.57,32.5,60.7,orchard
MEUSE_045,5.72904,51.04221,722.3,205.2,4.21,33.1,60.7,village
MEUSE_046,5.75285,50.93469,728.1,203.1,4.45,39.3,73.0,meadow
MEUSE_047,5.70385,51.00388,703.3,207.0,3.86,31.8,64.8,riparian
MEUSE_048,5.68977,51.00413,737.1,210.6,4.45,31.3,58.0,orchard
MEUSE_049,5.76013,50.9419,696.4,201.1,4.16,34.1,68.5,riparian
MEUSE_050,5.82672,50.98545,713.0,194.7,4.06,34.3,64.7,industrial
MEUSE_051,5.82901,51.08348,624.9,184.6,2.98,32.1,62.5,village
MEUSE_052,5.81347,50.98478,823.2,226.2,4.71,34.4,60.8,orchard
MEUSE_053,5.82495,50.97824,724.3,200.4,4.4,35.5,64.2,orchard
MEUSE_054,5.71242,50.93786,645.2,170.2,3.53,30.1,71.6,village
MEUSE_055,5.72278,51.04838,701.7,208.2,3.35,34.7,62.1,meadow
MEUSE_056,5.85125,50.9672,583.3,160.4,3.34,28.7,63.2,meadow
MEUSE_057,5.78042,51.06624,841.4,234.8,4.96,41.2,68.4,village
MEUSE_058,5.77388,51.08417,692.3,202.4,3.75,39.5,63.7,orchard
MEUSE_059,5.86477,50.97714,619.9,174.1,3.39,32.3,60.5,riparian
MEUSE_060,5.75034,51.02183,780.8,220.1,4.42,41.2,56.6,meadow
MEUSE_061,5.77127,50.98625,910.5,260.7,4.73,40.6,64.2,meadow
MEUSE_062,5.86848,51.06015,501.0,147.7,3.14,30.0,51.1,industrial
MEUSE_063,5.79841,51.05489,808.8,220.9,4.12,34.3,70.2,industrial
MEUSE_064,5.83932,51.07289,647.4,191.1,3.99,33.0,67.7,village
MEUSE_065,5.80417,50.93461,723.9,209.4,3.5,33.7,66.2,riparian
MEUSE_066,5.75425,51.07954,721.3,209.9,4.27,34.2,59.9,industrial
MEUSE_067,5.68426,51.0217,636.1,187.5,3.81,30.2,67.7,orchard
MEUSE_068,5.72386,50.93346,559.9,165.1,3.23,34.5,54.7,orchard
MEUSE_069,5.78231,50.97356,727.5,191.0,4.18,35.6,61.8,riparian
MEUSE_070,5.70378,50.93437,554.6,146.4,3.04,24.4,55.6,orchard
MEUSE_071,5.69672,51.0474,708.7,206.6,4.22,33.6,61.5,village
MEUSE_072,5.85218,50.98902,690.9,186.9,3.63,37.0,54.8,industrial
MEUSE_073,5.86091,50.94794,544.1,141.0,3.3,26.5,65.1,riparian
MEUSE_074,5.8155,51.08634,694.0,179.7,3.9,35.8,67.9,riparian
MEUSE_075,5.86738,51.07122,612.7,167.5,3.38,30.3,44.8,meadow
