trip_id,pickup_zone,dropoff_zone,pickup_lon,pickup_lat,dropoff_lon,dropoff_lat,distance_km,duration_min,fare_usd,tip_pct,hour,passengers
TAXI_0001,Wall St,Williamsburg,-74.04437,40.71083,-73.95803,40.69404,7.57,32.5,34.59,1.7,2,1
TAXI_0002,Times Square,Harlem,-73.98309,40.76234,-73.93669,40.79841,5.62,18.9,26.25,10.1,9,4
TAXI_0003,Harlem,Queens,-73.92768,40.7891,-73.78133,40.74356,13.43,61.2,58.07,3.7,13,4
TAXI_0004,LaGuardia,Wall St,-73.88543,40.76874,-73.99222,40.70059,11.82,50.8,49.46,13.6,4,4
TAXI_0005,JFK,Queens,-73.79311,40.64434,-73.80184,40.74705,11.42,52.7,50.32,8.3,17,5
TAXI_0006,Times Square,Williamsburg,-73.9938,40.76741,-73.94492,40.69627,8.92,30.3,38.62,13.7,19,3
TAXI_0007,Times Square,JFK,-74.03203,40.74945,-73.78395,40.63578,24.57,100.2,94.79,20.8,8,5
TAXI_0008,LaGuardia,Wall St,-73.88823,40.79825,-74.04931,40.71405,16.58,63.4,66.43,32.9,22,3
TAXI_0009,JFK,LaGuardia,-73.7713,40.63784,-73.84381,40.78837,17.81,72.6,70.06,23.4,2,2
TAXI_0010,Williamsburg,Queens,-73.93596,40.71415,-73.79629,40.71485,11.87,48.9,49.32,20.3,10,5
TAXI_0011,Harlem,JFK,-73.9312,40.81765,-73.7851,40.64142,23.17,95.7,89.76,10.1,19,4
TAXI_0012,Wall St,Times Square,-74.00238,40.7096,-73.96443,40.75418,5.91,26.8,28.65,9.9,9,1
TAXI_0013,LaGuardia,Wall St,-73.88616,40.78158,-74.00959,40.71553,12.8,65.3,56.78,17.5,3,1
TAXI_0014,Wall St,Williamsburg,-74.02382,40.69932,-73.9526,40.69819,6.05,24.7,28.12,13.8,12,1
TAXI_0015,Wall St,JFK,-74.02365,40.70054,-73.77629,40.63558,22.23,98.2,88.97,13.3,12,1
TAXI_0016,Times Square,LaGuardia,-73.99698,40.76416,-73.89769,40.7924,9.0,28.0,35.23,19.9,18,4
TAXI_0017,Harlem,JFK,-73.95534,40.80203,-73.76865,40.63458,24.44,106.5,96.02,13.6,16,2
TAXI_0018,Queens,Times Square,-73.79548,40.70727,-73.94899,40.75317,14.01,56.6,55.58,16.8,4,1
TAXI_0019,LaGuardia,Williamsburg,-73.8629,40.75345,-73.95549,40.70905,9.29,33.6,40.58,7.9,19,3
TAXI_0020,Queens,Williamsburg,-73.80498,40.72212,-73.93887,40.6887,11.97,51.6,51.56,11.5,2,3
TAXI_0021,Wall St,Queens,-74.01811,40.71906,-73.79086,40.72355,19.32,88.2,80.91,24.9,12,4
TAXI_0022,Harlem,Queens,-73.93121,40.8336,-73.80327,40.75784,13.75,60.5,57.6,20.6,16,2
TAXI_0023,JFK,Wall St,-73.75539,40.66517,-73.98566,40.69372,19.83,89.9,80.81,19.5,14,4
TAXI_0024,Harlem,Queens,-73.93219,40.80133,-73.8058,40.74026,12.7,50.9,53.37,16.0,20,3
TAXI_0025,JFK,Times Square,-73.78342,40.65878,-73.97033,40.75322,19.03,87.8,78.73,28.8,10,1
TAXI_0026,Harlem,Williamsburg,-73.96451,40.81979,-73.94364,40.72933,10.2,41.3,42.7,3.3,9,5
TAXI_0027,Wall St,Williamsburg,-74.03287,40.71264,-73.98845,40.69544,4.23,9.5,20.4,13.6,20,4
TAXI_0028,Harlem,Times Square,-73.96442,40.82355,-73.98373,40.7702,6.15,24.4,29.15,28.5,4,1
TAXI_0029,Times Square,JFK,-73.90783,40.74058,-73.77918,40.64008,15.62,59.5,62.98,23.9,19,4
TAXI_0030,LaGuardia,Queens,-73.8915,40.78596,-73.76981,40.7068,13.57,49.4,55.25,23.4,23,2
TAXI_0031,Wall St,Harlem,-74.00436,40.70094,-73.91501,40.79518,12.93,56.2,53.31,19.8,6,3
TAXI_0032,Williamsburg,Harlem,-73.97549,40.72361,-73.94616,40.80888,9.79,45.9,43.12,29.6,19,2
TAXI_0033,Queens,Times Square,-73.80188,40.74337,-73.97887,40.73546,15.07,71.7,64.32,13.4,2,2
TAXI_0034,Times Square,Wall St,-73.98643,40.76455,-74.0147,40.67471,10.26,47.7,43.6,10.8,0,4
TAXI_0035,JFK,Wall St,-73.77305,40.63103,-74.00917,40.71956,22.35,93.7,86.79,29.1,20,3
TAXI_0036,Queens,LaGuardia,-73.80939,40.73567,-73.86274,40.78728,7.31,23.9,29.77,14.9,0,1
TAXI_0037,JFK,Times Square,-73.79698,40.64301,-73.97549,40.77585,21.16,86.4,83.43,17.8,3,1
TAXI_0038,LaGuardia,Wall St,-73.88708,40.76434,-74.02826,40.7306,12.57,56.5,53.12,7.4,18,2
TAXI_0039,Williamsburg,LaGuardia,-73.96232,40.7079,-73.87303,40.76594,9.96,47.0,42.47,12.8,11,1
TAXI_0040,Harlem,Queens,-73.96329,40.76987,-73.79737,40.71507,15.36,62.8,62.21,4.0,8,1
TAXI_0041,Times Square,JFK,-74.02366,40.74524,-73.75389,40.62464,26.55,105.3,103.96,16.0,17,3
TAXI_0042,Queens,Williamsburg,-73.79019,40.73923,-73.92872,40.68704,13.12,56.8,55.27,18.0,14,1
TAXI_0043,Times Square,LaGuardia,-73.99152,40.76699,-73.87074,40.80836,11.25,50.3,48.11,25.7,8,1
TAXI_0044,Queens,Williamsburg,-73.79644,40.73296,-73.94083,40.7135,12.46,42.5,49.07,21.8,12,4
TAXI_0045,Wall St,Times Square,-73.99685,40.72217,-73.98896,40.7262,0.81,5,8.93,20.6,2,4
