id,name,lon,lat,amenities
TOWN_01,OpenTown 01,-78.71877,35.17953,110
TOWN_02,OpenTown 02,-78.26559,35.15423,73
TOWN_03,OpenTown 03,-77.82345,35.16121,79
TOWN_04,OpenTown 04,-77.34481,35.18935,13
TOWN_05,OpenTown 05,-76.90814,35.17404,77
TOWN_06,OpenTown 06,-78.65525,35.47558,113
TOWN_07,OpenTown 07,-78.18667,35.50371,74
TOWN_08,OpenTown 08,-77.74835,35.46606,77
TOWN_09,OpenTown 09,-77.33745,35.49283,35
TOWN_10,OpenTown 10,-76.83193,35.43911,74
TOWN_11,OpenTown 11,-78.68735,35.76611,55
TOWN_12,OpenTown 12,-78.24566,35.82321,104
TOWN_13,OpenTown 13,-77.80346,35.79835,55
TOWN_14,OpenTown 14,-77.3887,35.7994,118
TOWN_15,OpenTown 15,-76.88973,35.75353,57
TOWN_16,OpenTown 16,-78.6102,36.10496,76
TOWN_17,OpenTown 17,-78.18211,36.14523,93
TOWN_18,OpenTown 18,-77.76698,36.11208,109
TOWN_19,OpenTown 19,-77.2896,36.09117,73
TOWN_20,OpenTown 20,-76.81155,36.0848,80
