id,lon,lat,sales_index,floor_area,parking_spaces
RETAIL_001,-91.58702,44.00026,45.07,3275,79
RETAIL_002,-95.01312,43.00312,27.76,4104,103
RETAIL_003,-93.16816,44.84147,43.24,4315,213
RETAIL_004,-93.55697,45.07753,31.37,990,153
RETAIL_005,-92.7793,44.55836,70.42,8217,173
RETAIL_006,-93.56147,44.79829,82.11,4733,230
RETAIL_007,-95.24038,44.85794,38.09,8942,45
RETAIL_008,-94.98615,46.36069,36.11,6685,139
RETAIL_009,-93.28612,44.7295,53.43,6273,43
RETAIL_010,-94.59265,46.13052,37.35,7344,40
RETAIL_011,-91.38131,44.70965,75.04,3381,241
RETAIL_012,-95.71017,46.21885,41.07,4764,160
RETAIL_013,-94.336,44.34182,33.48,8497,134
RETAIL_014,-92.98838,43.89511,59.12,8724,153
RETAIL_015,-92.35982,44.25875,66.97,4207,22
RETAIL_016,-90.63151,45.4701,53.65,1770,132
RETAIL_017,-92.7291,45.91766,43.15,7125,64
RETAIL_018,-90.73184,44.78845,48.8,8271,230
RETAIL_019,-94.28267,45.85354,78.13,7091,112
RETAIL_020,-92.81778,44.82919,49.99,7043,23
RETAIL_021,-92.87336,44.16658,55.22,6071,220
RETAIL_022,-92.40896,45.08244,62.78,1991,168
RETAIL_023,-92.30235,44.44261,45.52,2968,130
RETAIL_024,-94.32191,45.26269,52.69,7566,140
RETAIL_025,-92.46624,45.19196,40.86,5668,11
RETAIL_026,-94.69287,44.00996,57.87,8217,6
RETAIL_027,-90.81643,44.39451,61.86,5377,226
RETAIL_028,-92.45377,45.23175,45.86,6161,140
RETAIL_029,-96.31502,43.27942,50.68,5572,216
RETAIL_030,-94.54665,45.11776,35.89,2029,210
RETAIL_031,-94.4733,45.8472,56.49,3981,228
RETAIL_032,-92.75031,45.13637,52.55,1866,132
RETAIL_033,-94.41393,45.12865,70.2,3610,10
RETAIL_034,-92.71934,47.09037,60.08,6661,96
RETAIL_035,-93.75984,46.63942,62.58,8830,78
RETAIL_036,-91.6262,45.5133,70.99,4996,84
RETAIL_037,-95.84606,44.73223,53.03,6614,233
RETAIL_038,-92.04825,45.63167,60.18,1145,13
RETAIL_039,-93.80261,44.61231,59.92,3640,232
RETAIL_040,-93.1891,44.48917,26.65,8470,198
RETAIL_041,-93.92417,44.0232,23.67,2830,131
RETAIL_042,-90.20672,45.94788,69.28,7171,211
RETAIL_043,-94.494,47.45252,59.31,8681,111
RETAIL_044,-94.83254,44.26335,66.61,8654,38
RETAIL_045,-92.40019,44.94623,54.34,1191,132
RETAIL_046,-95.28724,44.91769,38.41,7861,229
RETAIL_047,-92.76338,45.16439,49.44,1353,11
RETAIL_048,-92.88202,43.35427,20.92,6486,180
RETAIL_049,-93.85205,44.89348,31.03,1327,104
RETAIL_050,-93.04764,43.59893,35.69,2028,34
RETAIL_051,-92.62872,43.2045,62.16,8948,236
RETAIL_052,-93.87908,45.41622,45.22,2800,28
RETAIL_053,-93.07219,44.43154,44.31,7023,197
RETAIL_054,-91.36159,43.9487,8.13,1022,228
RETAIL_055,-95.04053,44.66961,23.04,1527,19
RETAIL_056,-92.64197,45.38597,63.39,6267,232
RETAIL_057,-92.90772,45.00707,62.47,5865,106
RETAIL_058,-93.96894,45.04136,60.08,5353,57
RETAIL_059,-92.76697,43.51352,50.78,3824,234
RETAIL_060,-92.40959,44.65715,41.8,7291,146
RETAIL_061,-96.50603,44.63271,71.06,5215,233
RETAIL_062,-93.49814,46.36384,45.0,8276,110
RETAIL_063,-93.2701,44.63362,29.89,3191,25
RETAIL_064,-93.04124,45.44815,60.74,6977,146
RETAIL_065,-93.41265,45.19197,64.04,7587,206
