county,lon,lat,births,sids_deaths,poverty_pct,sids_rate
NC County 001,-84.2499,33.8557,2947,5,16.5,1.7
NC County 002,-83.3984,33.85644,3391,5,14.8,1.47
NC County 003,-82.70133,33.92004,3899,7,15.6,1.8
NC County 004,-81.91579,33.8874,2900,6,12.1,2.07
NC County 005,-81.15377,33.92951,3783,7,18.7,1.85
NC County 006,-80.33951,33.85886,3217,6,10.1,1.87
NC County 007,-79.53626,33.86213,2059,4,24.5,1.94
NC County 008,-78.7244,33.97933,2242,6,21.9,2.68
NC County 009,-77.89235,33.91384,2933,6,20.2,2.05
NC County 010,-77.29434,33.85491,3394,6,15.7,1.77
NC County 011,-84.16396,34.26443,1007,3,20.6,2.98
NC County 012,-83.40291,34.2709,1173,1,8.1,0.85
NC County 013,-82.6807,34.29936,1000,3,11.8,3.0
NC County 014,-81.94462,34.2703,1705,5,21.4,2.93
NC County 015,-81.09313,34.27386,2964,5,18.4,1.69
NC County 016,-80.31825,34.24794,1561,3,22.4,1.92
NC County 017,-79.70102,34.26073,2654,7,24.6,2.64
NC County 018,-78.72551,34.2254,3090,4,7.3,1.29
NC County 019,-77.84054,34.21506,3279,6,13.5,1.83
NC County 020,-77.28138,34.20783,4074,8,17.9,1.96
NC County 021,-84.14685,34.63704,1257,2,20.5,1.59
NC County 022,-83.52267,34.66157,2874,6,16.4,2.09
NC County 023,-82.58389,34.60399,3765,6,11.1,1.59
NC County 024,-81.87293,34.70813,3365,6,10.2,1.78
NC County 025,-81.23808,34.55059,2038,5,14.9,2.45
NC County 026,-80.25658,34.63306,2209,5,8.2,2.26
NC County 027,-79.60389,34.56783,2195,6,19.9,2.73
NC County 028,-78.65179,34.59924,2972,6,9.9,2.02
NC County 029,-77.91883,34.6134,1055,1,9.3,0.95
NC County 030,-77.03222,34.59746,3306,7,16.3,2.12
NC County 031,-84.20853,35.00843,4075,8,10.9,1.96
NC County 032,-83.53417,34.99338,2089,5,21.3,2.39
NC County 033,-82.54354,34.95816,2375,5,18.1,2.11
NC County 034,-81.87624,35.0012,1608,3,13.6,1.87
NC County 035,-80.97209,35.06626,3203,5,14.4,1.56
NC County 036,-80.24809,35.00004,1424,4,24.0,2.81
NC County 037,-79.53516,35.05301,3172,6,17.4,1.89
NC County 038,-78.64884,35.00019,3500,8,18.3,2.29
NC County 039,-78.07202,34.99816,2129,5,25.3,2.35
NC County 040,-77.193,34.95589,3530,6,14.5,1.7
NC County 041,-84.23739,35.27982,1331,2,16.0,1.5
NC County 042,-83.39867,35.3194,1431,5,16.4,3.49
NC County 043,-82.67703,35.31968,2651,8,27.5,3.02
NC County 044,-81.80066,35.33537,3207,7,20.9,2.18
NC County 045,-81.03896,35.33937,1235,2,15.3,1.62
NC County 046,-80.2794,35.28986,4176,6,7.3,1.44
NC County 047,-79.52721,35.32003,3653,8,26.1,2.19
NC County 048,-78.68081,35.38999,2363,4,13.5,1.69
NC County 049,-77.84208,35.43207,3806,6,13.7,1.58
NC County 050,-77.29681,35.40603,2632,7,28.2,2.66
NC County 051,-84.1642,35.71859,3668,8,13.6,2.18
NC County 052,-83.44654,35.67655,1101,3,29.9,2.72
NC County 053,-82.49216,35.77798,1358,4,26.0,2.95
NC County 054,-81.98342,35.7214,2629,6,30.0,2.28
NC County 055,-81.23355,35.70772,3502,7,14.4,2.0
NC County 056,-80.39201,35.62102,3712,8,22.7,2.16
NC County 057,-79.58048,35.68352,3166,4,9.1,1.26
NC County 058,-78.63729,35.72943,2127,5,29.0,2.35
NC County 059,-77.96214,35.75774,1361,4,24.1,2.94
NC County 060,-77.23961,35.59852,1138,3,18.0,2.64
NC County 061,-84.17573,36.02608,2637,6,21.4,2.28
NC County 062,-83.40711,36.03056,1273,4,15.0,3.14
NC County 063,-82.68988,35.99386,1901,4,19.6,2.1
NC County 064,-81.86153,36.09838,988,2,25.1,2.02
NC County 065,-81.13311,36.04125,2365,7,18.9,2.96
NC County 066,-80.3622,36.18183,3777,7,19.8,1.85
NC County 067,-79.36544,36.01698,1921,4,24.1,2.08
NC County 068,-78.78237,36.09244,3814,8,15.0,2.1
