id,lon,lat,temperature_c,precip_mm,elevation_m
WEATHER_001,-97.15418,38.66975,64.43,120.3,194.4
WEATHER_002,-94.31156,39.6781,52.3,48.3,454.5
WEATHER_003,-94.18208,39.82043,43.57,43.2,660.4
WEATHER_004,-95.96812,38.95375,70.96,103.0,157.2
WEATHER_005,-96.31882,38.94145,40.88,41.5,462.7
WEATHER_006,-95.71531,39.5403,65.57,67.8,360.3
WEATHER_007,-96.82482,39.53293,53.45,81.6,237.2
WEATHER_008,-94.82682,38.46834,35.33,45.0,379.0
WEATHER_009,-96.62109,38.76536,64.08,74.6,438.3
WEATHER_010,-97.37053,38.4741,46.78,65.7,515.8
WEATHER_011,-95.12521,40.18823,50.9,95.7,325.8
WEATHER_012,-96.16737,38.9848,14.76,17.9,349.9
WEATHER_013,-99.23908,38.19551,52.28,49.6,379.5
WEATHER_014,-91.81973,36.78119,64.55,4.0,270.5
WEATHER_015,-97.17551,39.79035,54.95,72.2,378.3
WEATHER_016,-98.08846,39.37256,45.13,7.7,434.7
WEATHER_017,-94.54459,39.49549,41.1,59.8,120.6
WEATHER_018,-97.31616,39.91901,40.77,46.6,263.8
WEATHER_019,-95.53104,41.25381,46.73,82.5,309.7
WEATHER_020,-96.27355,39.21201,54.71,50.9,176.0
WEATHER_021,-95.34423,37.99652,62.12,112.3,392.1
WEATHER_022,-93.05924,38.13183,79.49,74.3,491.7
WEATHER_023,-97.27875,38.83865,59.51,106.4,443.9
WEATHER_024,-98.48334,38.22546,42.16,79.5,359.5
WEATHER_025,-97.1347,38.47227,33.25,95.0,278.5
WEATHER_026,-96.65503,39.14777,44.19,57.8,377.9
WEATHER_027,-93.72556,38.79073,44.52,29.1,405.7
WEATHER_028,-94.27878,40.74927,70.94,45.7,347.1
WEATHER_029,-94.93802,37.10023,54.75,93.5,375.3
WEATHER_030,-98.1981,38.6884,69.4,108.9,522.8
WEATHER_031,-98.33771,39.12496,29.78,59.0,238.2
WEATHER_032,-96.46415,37.56177,34.17,114.0,111.3
WEATHER_033,-97.04541,39.22987,40.04,91.2,364.2
WEATHER_034,-94.05154,39.78544,72.88,57.8,415.7
WEATHER_035,-95.1065,40.35062,20.34,78.2,326.8
WEATHER_036,-94.39546,39.4226,74.02,0,281.5
WEATHER_037,-94.79142,38.30977,25.83,32.9,309.8
WEATHER_038,-95.75545,39.88894,33.81,70.7,506.4
WEATHER_039,-93.3569,39.55193,34.93,34.3,374.6
WEATHER_040,-94.73934,40.05668,57.4,28.3,246.1
WEATHER_041,-96.7005,39.46119,49.53,134.8,326.3
WEATHER_042,-98.60537,39.22997,26.6,81.7,88.3
WEATHER_043,-93.24033,38.15756,74.39,93.9,519.0
WEATHER_044,-95.1945,37.70212,78.42,102.7,389.8
WEATHER_045,-94.53957,36.98113,77.2,43.3,133.7
WEATHER_046,-94.23862,38.93635,38.21,124.9,531.7
WEATHER_047,-96.14337,38.14576,61.62,68.9,511.3
WEATHER_048,-95.06745,40.6682,43.76,91.5,332.3
WEATHER_049,-97.84486,39.59438,22.52,70.3,201.5
WEATHER_050,-95.60692,39.41939,45.86,52.6,381.7
WEATHER_051,-95.22462,38.98509,25.54,136.2,341.1
WEATHER_052,-97.87462,38.37944,58.46,78.6,450.6
WEATHER_053,-96.45313,40.11845,21.29,157.9,514.1
WEATHER_054,-95.80333,39.26708,71.57,73.7,65.7
WEATHER_055,-98.0502,38.36063,39.08,105.4,348.9
WEATHER_056,-98.13128,39.09808,70.93,65.7,199.5
WEATHER_057,-94.4847,39.37067,28.9,92.1,93.5
WEATHER_058,-96.65848,38.41497,41.8,52.5,366.3
WEATHER_059,-95.60196,37.66512,51.51,72.5,328.4
WEATHER_060,-97.6369,38.48053,46.32,137.2,350.9
WEATHER_061,-96.85084,37.71182,52.14,38.3,393.2
WEATHER_062,-95.58869,39.19069,72.45,46.2,417.4
WEATHER_063,-93.64837,40.13816,52.37,17.7,280.2
WEATHER_064,-97.6892,39.07817,29.56,51.9,345.4
WEATHER_065,-96.69795,39.04388,11.05,97.7,284.6
WEATHER_066,-96.71633,38.66938,24.64,58.8,375.1
WEATHER_067,-95.48653,39.14492,58.56,16.9,240.3
WEATHER_068,-92.18007,39.54899,35.75,78.7,209.0
WEATHER_069,-96.40457,39.01108,49.93,53.5,605.6
WEATHER_070,-98.42832,38.80834,41.21,48.0,166.3
WEATHER_071,-97.00456,36.3965,43.78,54.0,449.5
WEATHER_072,-95.84039,39.39796,54.68,56.7,368.4
WEATHER_073,-94.90658,40.12195,17.28,60.4,279.9
WEATHER_074,-96.4647,39.36546,45.76,70.4,326.3
WEATHER_075,-94.62765,39.74813,41.37,103.2,375.9
WEATHER_076,-97.92316,39.62658,44.41,77.0,287.3
WEATHER_077,-100.56214,38.80685,40.73,44.4,456.4
WEATHER_078,-95.18209,37.89181,42.42,89.8,457.8
WEATHER_079,-96.0708,40.20818,53.31,96.0,359.0
WEATHER_080,-94.63981,39.72328,69.63,100.2,259.6
WEATHER_081,-95.04266,38.7359,79.91,80.7,346.7
WEATHER_082,-98.64166,40.65281,44.89,91.4,396.6
WEATHER_083,-96.39205,38.89546,37.28,97.6,204.6
WEATHER_084,-98.13794,38.74712,62.6,46.8,130.5
WEATHER_085,-97.86416,40.0403,81.89,55.2,400.6
WEATHER_086,-96.20076,36.64216,30.24,70.7,410.0
WEATHER_087,-97.29149,39.08649,51.49,59.7,324.1
WEATHER_088,-95.04234,39.62632,49.55,68.5,280.0
WEATHER_089,-99.74732,38.82024,39.05,37.5,211.4
WEATHER_090,-94.32735,41.40579,55.31,40.6,309.5
